batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five_overs_runs,runs_x
England,New Zealand,Auckland,191,18,6,11.235294117647058,58.0,214
Sri Lanka,West Indies,Nottingham,73,80,10,10.95,52.0,192
Sri Lanka,New Zealand,Nottingham,35,94,8,8.076923076923077,35.0,158
Pakistan,New Zealand,Auckland,99,26,4,6.319148936170213,49.0,153
South Africa,Pakistan,Cape Town,61,79,9,8.926829268292684,43.0,192
South Africa,Pakistan,Johannesburg,49,76,10,6.681818181818182,43.0,188
Sri Lanka,South Africa,Chittagong,84,57,7,8.0,34.0,165
Bangladesh,Sri Lanka,Chittagong,80,30,3,5.333333333333333,21.0,120
India,Bangladesh,Bangalore,75,52,8,6.617647058823529,33.0,146
Sri Lanka,Bangladesh,Johannesburg,101,27,5,6.516129032258065,31.0,147
Sri Lanka,West Indies,Pallekele,5,118,10,15.0,5.0,215
New Zealand,Pakistan,Wellington,127,33,6,8.758620689655173,42.0,196
India,Bangladesh,Colombo,84,49,9,7.098591549295775,30.0,176
South Africa,Sri Lanka,Centurion,49,74,9,6.391304347826087,35.0,180
India,England,Colombo,45,88,9,8.4375,40.0,170
Australia,England,Sydney,50,91,9,10.344827586206897,50.0,221
South Africa,Pakistan,Colombo,29,80,7,4.35,21.0,133
South Africa,Australia,Melbourne,98,5,3,5.113043478260869,32.0,101
Pakistan,Australia,Dubai,101,35,8,7.129411764705883,30.0,150
Sri Lanka,Pakistan,Dubai,30,91,9,6.206896551724138,29.0,145
Sri Lanka,England,Southampton,122,24,3,7.625,39.0,140
Sri Lanka,New Zealand,Nottingham,107,34,7,7.465116279069767,29.0,158
India,New Zealand,Hamilton,146,15,6,8.342857142857143,43.0,179
New Zealand,England,Manchester,50,68,7,5.769230769230769,36.0,123
India,Pakistan,Durban,97,30,5,6.466666666666667,32.0,141
Pakistan,Bangladesh,St Lucia,61,72,10,7.625,33.0,172
South Africa,India,Johannesburg,48,89,9,9.290322580645162,44.0,219
West Indies,Pakistan,Mirpur,88,27,5,5.67741935483871,21.0,166
India,South Africa,St Lucia,8,110,9,4.8,8.0,186
India,Australia,Durban,20,95,10,4.8,20.0,188
England,West Indies,Mumbai,70,67,9,7.9245283018867925,33.0,182
South Africa,England,Cape Town,71,73,9,9.063829787234043,60.0,179
Pakistan,India,Mirpur,0,119,10,0.0,0.0,130
England,India,Manchester,141,16,4,8.134615384615385,36.0,159
New Zealand,England,St Lucia,65,57,7,6.190476190476191,30.0,149
Australia,Sri Lanka,Sydney,120,16,7,6.923076923076923,44.0,137
Pakistan,Sri Lanka,Colombo,85,48,7,7.083333333333333,37.0,175
New Zealand,Sri Lanka,Lauderhill,35,71,5,4.285714285714286,26.0,81
India,South Africa,Durban,77,44,6,6.078947368421052,37.0,153
Pakistan,Sri Lanka,Colombo,170,4,5,8.793103448275861,47.0,172
India,West Indies,Mumbai,144,20,8,8.64,47.0,192
Pakistan,India,Kolkata,40,69,9,4.705882352941177,22.0,118
India,Sri Lanka,Pallekele,7,113,10,6.0,7.0,155
Pakistan,South Africa,Centurion,147,6,1,7.7368421052631575,31.0,168
South Africa,Sri Lanka,Cape Town,118,30,7,7.866666666666666,39.0,169
Australia,Sri Lanka,Melbourne,66,67,10,7.471698113207547,39.0,168
Pakistan,New Zealand,Hamilton,127,25,7,8.021052631578947,56.0,168
New Zealand,England,Wellington,147,20,5,8.82,41.0,176
West Indies,Sri Lanka,Colombo,19,76,8,2.590909090909091,18.0,137
Afghanistan,Bangladesh,Mirpur,32,89,9,6.193548387096774,31.0,72
Pakistan,Bangladesh,Mirpur,129,10,6,7.036363636363636,42.0,141
Australia,Sri Lanka,Barbados,28,98,8,7.636363636363637,28.0,168
Bangladesh,Pakistan,Cape Town,126,23,3,7.793814432989691,40.0,140
England,Pakistan,Dubai,66,62,8,6.827586206896552,30.0,172
Pakistan,New Zealand,Abu Dhabi,123,12,4,6.833333333333333,34.0,148
Australia,South Africa,Cape Town,59,93,10,13.11111111111111,59.0,193
India,Sri Lanka,Mirpur,9,106,9,3.857142857142857,9.0,130
India,New Zealand,Christchurch,111,31,3,7.48314606741573,28.0,162
Australia,India,Sydney,45,93,9,10.0,45.0,197
Sri Lanka,West Indies,Pallekele,4,119,10,24.0,4.0,215
India,Bangladesh,Bangalore,25,92,10,5.357142857142857,25.0,146
West Indies,Pakistan,Dubai,79,26,2,5.042553191489362,32.0,115
Sri Lanka,South Africa,Cape Town,61,64,7,6.535714285714286,31.0,134
South Africa,Australia,Melbourne,53,55,7,4.892307692307693,21.0,101
Sri Lanka,Pakistan,Dubai,114,16,6,6.576923076923077,34.0,145
India,New Zealand,Delhi,111,44,10,8.763157894736842,55.0,202
West Indies,New Zealand,Auckland,58,94,7,13.384615384615385,56.0,180
Pakistan,West Indies,Trinidad,62,66,8,6.888888888888889,37.0,137
Pakistan,New Zealand,Auckland,86,65,10,9.381818181818181,52.0,201
India,New Zealand,Mount Maunganui,94,54,9,8.545454545454545,41.0,163
Sri Lanka,Pakistan,Abu Dhabi,16,102,10,5.333333333333333,16.0,124
Pakistan,England,Dubai,73,42,6,5.615384615384615,35.0,129
Sri Lanka,Australia,Melbourne,154,2,6,7.830508474576271,54.0,161
India,Bangladesh,Mirpur,156,7,6,8.283185840707965,66.0,166
New Zealand,Bangladesh,Kolkata,5,115,10,6.0,5.0,145
Pakistan,New Zealand,Hamilton,44,75,8,5.866666666666666,24.0,168
South Africa,New Zealand,Barbados,19,108,10,9.5,19.0,170
Pakistan,South Africa,St Lucia,24,77,7,3.3488372093023258,17.0,148
Sri Lanka,India,Mirpur,59,51,6,5.130434782608695,28.0,138
New Zealand,Bangladesh,Mount Maunganui,56,77,7,7.813953488372093,36.0,195
Sri Lanka,England,London,152,12,4,8.444444444444445,53.0,183
Sri Lanka,Pakistan,Abu Dhabi,94,56,7,8.8125,33.0,141
Pakistan,Australia,Sydney,10,109,8,5.454545454545454,10.0,107
Australia,South Africa,Johannesburg,136,33,6,9.379310344827585,37.0,196
England,South Africa,Cardiff,94,57,9,8.952380952380953,52.0,181
India,West Indies,Trinidad,86,31,6,5.797752808988764,23.0,159
New Zealand,England,Hamilton,51,89,10,9.870967741935484,51.0,192
South Africa,West Indies,Durban,149,19,9,8.851485148514852,41.0,195
Sri Lanka,Pakistan,Lahore,80,60,8,8.0,35.0,182
Sri Lanka,West Indies,Barbados,38,88,9,7.125,37.0,195
New Zealand,West Indies,Mount Maunganui,237,1,8,11.949579831932773,71.0,238
New Zealand,Pakistan,Wellington,60,82,9,9.473684210526315,43.0,196
Sri Lanka,New Zealand,Auckland,73,44,4,5.7631578947368425,32.0,142
New Zealand,Sri Lanka,Johannesburg,23,93,9,5.111111111111111,23.0,164
West Indies,New Zealand,Auckland,139,41,5,10.556962025316455,52.0,180
New Zealand,Sri Lanka,Auckland,35,79,6,5.121951219512195,22.0,179
Sri Lanka,Bangladesh,Johannesburg,96,30,5,6.4,35.0,147
Pakistan,Sri Lanka,Johannesburg,134,29,7,8.835164835164836,63.0,189
West Indies,Pakistan,Mirpur,84,31,5,5.662921348314606,23.0,166
South Africa,England,Cape Town,7,111,9,4.666666666666667,7.0,179
West Indies,New Zealand,Auckland,63,82,5,9.947368421052632,41.0,180
Bangladesh,South Africa,Cape Town,102,49,4,8.619718309859154,25.0,144
Pakistan,Sri Lanka,Lahore,29,96,10,7.25,29.0,180
Australia,India,Melbourne,30,91,8,6.206896551724138,29.0,132
West Indies,Bangladesh,Mirpur,99,43,7,7.714285714285714,45.0,197
West Indies,Pakistan,Barbados,39,68,6,4.5,19.0,111
West Indies,Pakistan,Trinidad,59,56,8,5.53125,18.0,124
England,Australia,Cape Town,129,12,3,7.166666666666667,32.0,135
Sri Lanka,England,Pallekele,18,101,10,5.684210526315789,18.0,169
England,New Zealand,Auckland,5,116,10,7.5,5.0,214
Sri Lanka,Bangladesh,Colombo,28,106,10,12.0,28.0,214
Afghanistan,India,St Lucia,97,21,7,5.878787878787879,40.0,115
India,West Indies,London,66,47,6,5.424657534246576,21.0,153
South Africa,West Indies,Nagpur,83,38,5,6.073170731707317,34.0,122
Australia,South Africa,Cape Town,92,71,10,11.26530612244898,54.0,193
Sri Lanka,West Indies,Bangalore,67,42,5,5.153846153846154,20.0,122
South Africa,Afghanistan,Mumbai,82,69,9,9.647058823529411,52.0,209
South Africa,Sri Lanka,Johannesburg,20,97,8,5.217391304347826,20.0,113
West Indies,New Zealand,Auckland,172,24,3,10.75,52.0,180
South Africa,New Zealand,Auckland,48,87,9,8.727272727272727,44.0,185
New Zealand,Australia,Sydney,62,42,5,4.769230769230769,22.0,117
England,Pakistan,Dubai,32,96,10,8.0,32.0,172
West Indies,South Africa,Johannesburg,53,86,10,9.352941176470589,45.0,205
New Zealand,India,Johannesburg,86,55,8,7.938461538461539,38.0,190
South Africa,West Indies,London,37,93,10,8.222222222222221,37.0,183
England,South Africa,Johannesburg,59,76,9,8.045454545454545,49.0,171
South Africa,Australia,Johannesburg,144,28,6,9.391304347826088,48.0,204
South Africa,Australia,Centurion,150,2,5,7.627118644067797,54.0,156
Bangladesh,India,Mirpur,83,40,5,6.225,36.0,138
Pakistan,England,Barbados,86,48,6,7.166666666666667,30.0,147
West Indies,Sri Lanka,Pallekele,92,23,6,5.690721649484536,37.0,129
New Zealand,West Indies,Mount Maunganui,237,1,5,11.949579831932773,56.0,243
New Zealand,Pakistan,Barbados,76,46,6,6.162162162162162,28.0,133
India,Sri Lanka,St Lucia,120,35,8,8.470588235294118,38.0,163
South Africa,India,Nottingham,44,91,9,9.10344827586207,44.0,130
Sri Lanka,Pakistan,Abu Dhabi,87,23,1,5.381443298969073,21.0,102
South Africa,Sri Lanka,Johannesburg,42,80,9,6.3,33.0,198
Sri Lanka,New Zealand,Nottingham,5,115,9,6.0,5.0,158
New Zealand,England,Auckland,87,85,9,14.914285714285715,76.0,146
Pakistan,South Africa,Nottingham,134,15,6,7.6571428571428575,37.0,149
New Zealand,India,Auckland,191,6,5,10.052631578947368,61.0,203
England,Australia,Cape Town,91,46,6,7.378378378378378,43.0,135
India,Sri Lanka,Mirpur,32,82,9,5.052631578947368,28.0,130
South Africa,New Zealand,Barbados,74,51,8,6.434782608695652,25.0,170
Bangladesh,Pakistan,Lahore,81,39,7,6.0,36.0,136
South Africa,Australia,Centurion,71,58,8,6.870967741935484,37.0,156
New Zealand,Sri Lanka,Pallekele,11,95,8,2.64,11.0,74
England,Australia,Southampton,48,93,9,10.666666666666666,48.0,162
India,Pakistan,Durban,84,42,5,6.461538461538462,40.0,141
South Africa,Pakistan,Dubai,111,37,9,8.024096385542169,50.0,150
New Zealand,West Indies,Hamilton,158,27,6,10.193548387096774,36.0,191
Sri Lanka,England,Chittagong,106,39,9,7.851851851851852,47.0,189
Pakistan,Bangladesh,Mirpur,6,107,10,2.769230769230769,6.0,141
New Zealand,Pakistan,Hamilton,16,103,9,5.647058823529412,16.0,185
South Africa,New Zealand,London,33,93,10,7.333333333333333,33.0,128
West Indies,India,Mirpur,40,67,9,4.528301886792453,24.0,129
Pakistan,South Africa,Cape Town,97,43,8,7.558441558441558,52.0,176
India,West Indies,Mumbai,14,108,10,7.0,14.0,240
Australia,West Indies,London,136,17,5,7.922330097087379,50.0,169
India,West Indies,Lauderhill,52,84,10,8.666666666666666,45.0,167
India,South Africa,Durban,15,110,10,9.0,15.0,168
South Africa,Sri Lanka,Centurion,11,113,10,9.428571428571429,11.0,126
India,South Africa,Johannesburg,80,79,8,11.707317073170731,56.0,203
Bangladesh,Pakistan,Lahore,75,49,9,6.338028169014085,30.0,141
Australia,South Africa,Adelaide,118,22,6,7.224489795918367,47.0,144
Afghanistan,Bangladesh,Mirpur,37,79,6,5.414634146341464,28.0,72
Sri Lanka,West Indies,Mirpur,99,33,6,6.827586206896552,35.0,160
Pakistan,South Africa,Abu Dhabi,88,38,5,6.439024390243903,27.0,119
South Africa,India,Mirpur,13,110,9,7.8,13.0,172
India,Bangladesh,Colombo,71,59,9,6.983606557377049,28.0,176
Pakistan,Australia,Dubai,2,117,10,4.0,2.0,147
New Zealand,Pakistan,Hamilton,0,119,9,0.0,0.0,185
South Africa,Australia,Johannesburg,93,52,9,8.205882352941176,38.0,201
Bangladesh,Sri Lanka,Mirpur,4,103,8,1.411764705882353,4.0,147
West Indies,Australia,St Lucia,77,44,3,6.078947368421052,25.0,105
Sri Lanka,South Africa,Chittagong,56,79,8,8.195121951219512,36.0,165
West Indies,New Zealand,Auckland,60,52,6,5.294117647058823,36.0,126
England,Pakistan,Dubai,59,63,9,6.2105263157894735,38.0,148
New Zealand,Sri Lanka,Auckland,108,24,4,6.75,47.0,179
Sri Lanka,West Indies,Pallekele,154,23,8,9.525773195876289,54.0,215
India,South Africa,Cape Town,92,52,8,8.117647058823529,34.0,172
South Africa,New Zealand,Chittagong,11,107,10,5.076923076923077,11.0,170
Pakistan,New Zealand,Dubai,122,25,9,7.705263157894737,41.0,166
Pakistan,Australia,Mirpur,6,115,10,7.2,6.0,191
New Zealand,Pakistan,London,17,110,9,10.2,17.0,99
India,Bangladesh,Colombo,63,71,10,7.714285714285714,44.0,176
West Indies,England,London,89,54,8,8.090909090909092,39.0,169
South Africa,England,Cape Town,43,87,7,7.818181818181818,39.0,154
Sri Lanka,Bangladesh,Colombo,128,17,5,7.456310679611651,58.0,159
New Zealand,Bangladesh,Mount Maunganui,20,106,9,8.571428571428571,20.0,195
New Zealand,West Indies,Mount Maunganui,34,101,10,10.736842105263158,34.0,243
Bangladesh,Australia,Cape Town,118,8,4,6.321428571428571,33.0,123
Sri Lanka,West Indies,Mirpur,61,67,7,6.90566037735849,20.0,160
South Africa,England,Centurion,174,23,7,10.762886597938145,59.0,222
Pakistan,England,Cardiff,85,15,3,4.857142857142857,35.0,89
South Africa,England,Southampton,33,91,7,6.827586206896552,33.0,142
Sri Lanka,Pakistan,Colombo,47,69,10,5.529411764705882,28.0,139
South Africa,England,Cape Town,32,96,10,8.0,32.0,191
England,New Zealand,Hamilton,139,23,6,8.597938144329897,31.0,194
Australia,Sri Lanka,Barbados,77,44,5,6.078947368421052,26.0,168
India,Sri Lanka,Colombo,72,65,8,7.8545454545454545,45.0,174
England,West Indies,Barbados,54,62,7,5.586206896551724,28.0,152
New Zealand,Bangladesh,Mount Maunganui,163,24,7,10.1875,71.0,195
South Africa,Afghanistan,Barbados,88,39,6,6.518518518518518,25.0,139
West Indies,New Zealand,Pallekele,118,23,4,7.298969072164948,28.0,139
South Africa,England,Cape Town,115,35,7,8.117647058823529,32.0,179
New Zealand,Sri Lanka,Colombo,13,106,10,5.571428571428571,13.0,170
West Indies,Pakistan,Mirpur,17,104,9,6.375,17.0,166
Australia,Sri Lanka,Melbourne,143,15,7,8.17142857142857,51.0,168
Australia,Sri Lanka,Barbados,78,42,5,6.0,24.0,168
Pakistan,South Africa,Cape Town,68,56,8,6.375,38.0,176
England,Australia,Melbourne,30,95,9,7.2,30.0,130
India,Bangladesh,Nagpur,174,0,5,8.7,45.0,174
South Africa,Australia,Johannesburg,110,46,7,8.91891891891892,35.0,204
India,Sri Lanka,Mirpur,79,47,8,6.493150684931507,37.0,130
England,India,London,74,56,9,6.9375,35.0,153
India,West Indies,Mumbai,72,86,10,12.705882352941176,68.0,240
West Indies,England,Nottingham,13,102,9,4.333333333333333,13.0,172
Pakistan,New Zealand,Mount Maunganui,81,56,8,7.59375,36.0,181
South Africa,West Indies,Cape Town,127,22,7,7.775510204081633,39.0,165
New Zealand,Sri Lanka,Pallekele,93,32,5,6.340909090909091,36.0,142
Australia,Pakistan,Chandigarh,128,29,6,8.43956043956044,45.0,193
India,Bangladesh,Nagpur,48,79,8,7.024390243902439,45.0,174
South Africa,New Zealand,Johannesburg,26,105,10,10.4,26.0,133
Sri Lanka,Pakistan,Abu Dhabi,104,43,7,8.103896103896103,26.0,141
Sri Lanka,Pakistan,Lahore,46,85,8,7.885714285714286,40.0,182
Sri Lanka,India,Chandigarh,152,36,6,10.857142857142858,53.0,206
West Indies,Pakistan,Barbados,20,95,9,4.8,20.0,111
New Zealand,Bangladesh,Pallekele,102,46,9,8.27027027027027,54.0,191
Bangladesh,Pakistan,Lahore,73,49,7,6.169014084507042,38.0,136
Australia,South Africa,Johannesburg,141,2,3,7.169491525423729,47.0,147
India,South Africa,Durban,58,83,9,9.405405405405405,47.0,168
Sri Lanka,India,Colombo,32,102,9,10.666666666666666,32.0,152
South Africa,India,Nottingham,8,113,10,6.857142857142857,8.0,130
Pakistan,Australia,Dubai,12,114,10,12.0,12.0,151
West Indies,Pakistan,Dubai,103,9,2,5.5675675675675675,45.0,115
West Indies,England,London,5,115,10,6.0,5.0,208
Australia,Sri Lanka,Barbados,60,66,6,6.666666666666667,30.0,168
New Zealand,Sri Lanka,Colombo,54,78,10,7.714285714285714,41.0,170
Pakistan,New Zealand,Abu Dhabi,24,88,8,4.5,20.0,148
South Africa,England,Cape Town,94,29,4,6.197802197802198,22.0,154
Australia,West Indies,Mirpur,32,100,10,9.6,32.0,178
South Africa,Sri Lanka,Colombo,84,40,3,6.3,25.0,98
South Africa,England,Centurion,59,92,10,12.642857142857142,59.0,222
West Indies,Australia,Sydney,43,77,8,6.0,28.0,138
Pakistan,Australia,Colombo,26,92,9,5.571428571428571,26.0,149
South Africa,West Indies,London,105,50,9,9.0,42.0,183
Australia,England,Melbourne,52,87,9,9.454545454545455,51.0,147
Sri Lanka,Australia,Cape Town,25,86,6,4.411764705882353,22.0,101
India,Sri Lanka,St Lucia,162,2,6,8.23728813559322,36.0,163
South Africa,Pakistan,Johannesburg,111,24,6,6.9375,24.0,153
Pakistan,Australia,Colombo,5,115,10,6.0,5.0,149
India,Sri Lanka,Mirpur,42,77,9,5.8604651162790695,33.0,130
West Indies,Bangladesh,Johannesburg,60,66,9,6.666666666666667,36.0,164
New Zealand,West Indies,Auckland,55,83,9,8.91891891891892,49.0,189
England,West Indies,Barbados,143,7,5,7.592920353982301,41.0,152
Australia,India,Barbados,15,103,10,5.294117647058823,15.0,184
New Zealand,Pakistan,Dubai,104,33,6,7.172413793103448,43.0,135
South Africa,West Indies,Johannesburg,130,53,7,11.64179104477612,60.0,231
Pakistan,New Zealand,Auckland,14,104,9,5.25,14.0,153
Sri Lanka,Pakistan,Mirpur,103,41,10,7.822784810126582,47.0,150
West Indies,New Zealand,Lauderhill,32,90,9,6.4,26.0,209
India,Australia,Durban,156,14,6,8.830188679245284,65.0,188
India,England,Manchester,140,20,5,8.4,36.0,165
India,Sri Lanka,St Lucia,82,64,9,8.785714285714286,51.0,163
Australia,Sri Lanka,Pallekele,221,16,8,12.75,78.0,263
New Zealand,Australia,Sydney,14,109,8,7.636363636363637,14.0,117
Sri Lanka,Australia,Colombo,93,30,3,6.2,29.0,128
Pakistan,Sri Lanka,Johannesburg,49,71,7,6.0,27.0,189
Pakistan,New Zealand,Auckland,94,42,7,7.230769230769231,36.0,171
England,South Africa,Cardiff,41,88,9,7.6875,39.0,181
England,Pakistan,Dubai,6,111,10,4.0,6.0,148
New Zealand,West Indies,Mount Maunganui,21,101,10,6.631578947368421,21.0,238
New Zealand,Sri Lanka,Auckland,115,21,4,6.96969696969697,46.0,179
West Indies,England,London,8,109,10,4.363636363636363,8.0,113
South Africa,New Zealand,London,94,24,5,5.875,31.0,128
South Africa,Australia,Centurion,57,65,7,6.218181818181818,34.0,128
Sri Lanka,New Zealand,Auckland,43,71,7,5.26530612244898,25.0,142
New Zealand,England,London,121,46,8,9.81081081081081,45.0,201
New Zealand,Bangladesh,Mount Maunganui,104,50,7,8.914285714285715,50.0,195
India,England,Cardiff,23,90,7,4.6,23.0,148
India,England,Mumbai,108,37,6,7.807228915662651,33.0,177
West Indies,Pakistan,Barbados,50,52,4,4.411764705882353,14.0,111
New Zealand,England,Pallekele,107,22,5,6.551020408163265,41.0,148
England,West Indies,Mumbai,35,97,10,9.130434782608695,35.0,182
New Zealand,Sri Lanka,Colombo,5,117,10,10.0,5.0,170
England,India,Manchester,137,16,4,7.903846153846154,35.0,159
Pakistan,Bangladesh,Mirpur,15,109,10,8.181818181818182,15.0,135
Pakistan,Australia,St Lucia,69,71,10,8.448979591836734,51.0,191
Pakistan,New Zealand,Auckland,130,35,8,9.176470588235293,42.0,201
England,New Zealand,Hamilton,188,1,3,9.478991596638656,61.0,194
Sri Lanka,Australia,Melbourne,80,44,7,6.315789473684211,34.0,161
Pakistan,South Africa,Abu Dhabi,65,47,5,5.342465753424658,25.0,120
England,Sri Lanka,Delhi,106,27,7,6.838709677419355,38.0,171
India,Australia,Melbourne,57,39,4,4.222222222222222,18.0,74
New Zealand,Bangladesh,Mount Maunganui,102,38,7,7.463414634146342,53.0,194
New Zealand,Australia,Christchurch,111,40,6,8.325,42.0,214
Pakistan,South Africa,Centurion,52,82,8,8.210526315789474,43.0,168
Sri Lanka,India,Mirpur,28,88,8,5.25,24.0,138
Australia,New Zealand,Sydney,62,66,7,6.888888888888889,24.0,150
India,Sri Lanka,St Lucia,117,40,8,8.775,40.0,163
Australia,England,Southampton,145,43,8,11.2987012987013,59.0,248
Afghanistan,West Indies,St Kitts,26,90,7,5.2,26.0,110
Sri Lanka,India,Colombo,45,90,8,9.0,40.0,152
Sri Lanka,Pakistan,Lahore,60,77,8,8.372093023255815,44.0,182
Sri Lanka,Pakistan,Mirpur,56,71,10,6.857142857142857,43.0,150
Bangladesh,Australia,Bangalore,64,60,7,6.4,39.0,156
Australia,South Africa,Adelaide,47,78,8,6.714285714285714,28.0,144
India,South Africa,Centurion,0,119,10,0.0,0.0,188
Australia,India,Sydney,105,31,6,7.078651685393258,29.0,164
Sri Lanka,South Africa,Cape Town,57,71,7,6.979591836734694,42.0,134
Australia,Pakistan,Johannesburg,8,110,9,4.8,8.0,164
Pakistan,Australia,Dubai,6,113,10,5.142857142857143,6.0,147
West Indies,Australia,St Lucia,96,32,6,6.545454545454546,38.0,150
Pakistan,Australia,Dubai,126,18,7,7.411764705882353,41.0,151
South Africa,Afghanistan,Mumbai,38,96,9,9.5,38.0,209
South Africa,Afghanistan,Barbados,123,16,5,7.096153846153846,38.0,139
Sri Lanka,Pakistan,Lahore,145,20,5,8.7,41.0,182
England,Pakistan,Manchester,39,90,10,7.8,39.0,135
Pakistan,New Zealand,Dubai,136,12,4,7.555555555555555,32.0,161
New Zealand,Bangladesh,Kolkata,73,45,8,5.84,26.0,145
India,West Indies,Lauderhill,76,60,9,7.6,37.0,167
West Indies,India,Kolkata,43,73,7,5.48936170212766,22.0,109
West Indies,India,Lauderhill,63,42,5,4.846153846153846,26.0,95
New Zealand,Australia,Auckland,150,0,1,7.5,33.0,150
Australia,England,Adelaide,103,38,8,7.536585365853658,19.0,157
Bangladesh,India,Mirpur,92,42,5,7.076923076923077,34.0,120
Pakistan,South Africa,Nottingham,99,42,7,7.615384615384615,42.0,149
New Zealand,England,Hamilton,75,71,10,9.183673469387756,48.0,192
New Zealand,Bangladesh,Mirpur,136,36,8,9.714285714285714,53.0,204
New Zealand,West Indies,Mount Maunganui,226,4,5,11.689655172413794,47.0,243
Pakistan,Australia,Abu Dhabi,100,45,9,8.0,47.0,155
India,Sri Lanka,Colombo,99,51,8,8.608695652173912,53.0,174
Sri Lanka,Pakistan,Abu Dhabi,58,60,7,5.8,24.0,102
Pakistan,Bangladesh,St Lucia,28,102,10,9.333333333333334,28.0,172
Sri Lanka,India,Colombo,153,17,6,8.912621359223301,55.0,171
Australia,India,Sydney,73,65,9,7.963636363636364,44.0,164
New Zealand,Sri Lanka,Pallekele,137,26,7,8.74468085106383,50.0,174
Australia,South Africa,Durban,91,56,7,8.53125,29.0,157
Sri Lanka,Bangladesh,Colombo,109,25,5,6.88421052631579,47.0,159
Pakistan,South Africa,Centurion,8,112,10,6.0,8.0,195
South Africa,West Indies,London,106,48,8,8.833333333333334,41.0,183
Sri Lanka,England,Pallekele,114,32,7,7.7727272727272725,41.0,169
West Indies,England,Nottingham,58,56,7,5.4375,33.0,172
New Zealand,Bangladesh,Pallekele,15,109,10,8.181818181818182,15.0,191
West Indies,Bangladesh,Mirpur,118,28,8,7.695652173913044,38.0,171
Sri Lanka,South Africa,Cape Town,46,80,7,6.9,39.0,134
New Zealand,England,London,10,113,9,8.571428571428571,10.0,201
Sri Lanka,Pakistan,Abu Dhabi,27,95,10,6.48,27.0,124
England,South Africa,Cape Town,46,88,9,8.625,39.0,134
England,Sri Lanka,Delhi,46,79,9,6.7317073170731705,42.0,171
New Zealand,South Africa,Durban,60,83,10,9.72972972972973,55.0,151
India,Bangladesh,Nottingham,93,48,9,7.75,34.0,180
India,England,Mumbai,162,11,5,8.917431192660551,59.0,177
New Zealand,Pakistan,Dubai,52,72,8,6.5,37.0,144
New Zealand,West Indies,Hamilton,166,13,4,9.30841121495327,24.0,191
Australia,India,Melbourne,75,40,4,5.625,25.0,132
India,Sri Lanka,Pallekele,51,82,9,8.052631578947368,44.0,155
South Africa,Australia,Centurion,90,26,4,5.74468085106383,22.0,128
West Indies,England,London,56,74,9,7.304347826086956,36.0,125
South Africa,Pakistan,Cape Town,14,111,10,9.333333333333334,14.0,192
West Indies,England,Barbados,130,21,7,7.878787878787879,43.0,170
Sri Lanka,India,Colombo,130,25,7,8.210526315789474,44.0,171
Pakistan,New Zealand,Auckland,31,80,6,4.65,23.0,153
South Africa,West Indies,Johannesburg,23,103,8,8.117647058823529,23.0,231
West Indies,Sri Lanka,Colombo,81,60,7,8.1,32.0,162
Bangladesh,Pakistan,Lahore,86,44,9,6.7894736842105265,34.0,141
New Zealand,India,Hamilton,19,107,10,8.76923076923077,19.0,212
Australia,England,Southampton,30,91,8,6.206896551724138,30.0,157
West Indies,South Africa,Johannesburg,24,97,9,6.260869565217392,24.0,131
New Zealand,West Indies,Hamilton,13,112,10,9.75,13.0,191
Sri Lanka,Australia,Cape Town,11,103,7,3.8823529411764706,11.0,101
Sri Lanka,South Africa,Chittagong,9,116,10,13.5,9.0,165
New Zealand,West Indies,Auckland,88,54,7,8.0,33.0,189
Pakistan,South Africa,Dubai,42,59,5,4.131147540983607,27.0,98
Pakistan,New Zealand,Auckland,154,23,8,9.525773195876289,48.0,201
England,South Africa,Durban,124,31,6,8.359550561797754,34.0,204
South Africa,Pakistan,Dubai,65,62,9,6.724137931034483,28.0,150
Bangladesh,New Zealand,Hamilton,72,20,1,4.32,18.0,78
South Africa,Sri Lanka,Cape Town,25,104,10,9.375,25.0,169
India,Bangladesh,Mirpur,23,89,8,4.451612903225806,22.0,166
Pakistan,England,Dubai,121,14,5,6.849056603773585,42.0,144
Sri Lanka,India,Mumbai,75,47,5,6.164383561643835,29.0,135
India,England,Mumbai,92,49,6,7.774647887323944,27.0,177
Australia,India,Melbourne,127,11,3,6.990825688073395,52.0,132
Pakistan,Australia,Dubai,73,60,10,7.3,28.0,150
Sri Lanka,India,Colombo,115,35,7,8.117647058823529,40.0,171
West Indies,Bangladesh,Mirpur,25,101,10,7.894736842105263,25.0,171
Pakistan,Bangladesh,Kolkata,81,68,9,9.346153846153847,44.0,201
England,South Africa,Cape Town,81,46,5,6.5675675675675675,28.0,134
Pakistan,South Africa,Abu Dhabi,27,100,9,8.1,27.0,119
England,Afghanistan,Colombo,19,95,9,4.56,19.0,196
Pakistan,New Zealand,Dubai,114,32,7,7.7727272727272725,41.0,153
Afghanistan,Sri Lanka,Kolkata,58,49,6,4.901408450704225,16.0,153
Sri Lanka,England,Chittagong,85,51,9,7.391304347826087,40.0,189
West Indies,England,London,73,81,9,11.23076923076923,60.0,208
Sri Lanka,India,Mumbai,109,20,4,6.54,35.0,135
New Zealand,Bangladesh,Pallekele,0,116,10,0.0,0.0,191
New Zealand,Pakistan,Cape Town,120,12,3,6.666666666666667,35.0,143
