batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five_overs_runs,runs_x
Australia,England,Barbados,70,44,6,5.526315789473684,33.0,147
South Africa,New Zealand,Barbados,125,23,7,7.731958762886598,54.0,170
Sri Lanka,India,Mumbai,72,51,6,6.260869565217392,29.0,135
England,Australia,Melbourne,102,20,6,6.12,31.0,137
India,New Zealand,Wellington,22,105,9,8.8,22.0,165
Australia,West Indies,Barbados,27,101,10,8.526315789473685,27.0,97
New Zealand,Sri Lanka,Pallekele,92,36,6,6.571428571428571,37.0,142
South Africa,Australia,Melbourne,71,32,6,4.840909090909091,20.0,101
Bangladesh,Australia,Bangalore,112,18,5,6.588235294117647,32.0,156
Australia,India,Mumbai,73,67,8,8.264150943396226,38.0,166
West Indies,Bangladesh,Mirpur,98,47,8,8.054794520547945,54.0,171
Pakistan,New Zealand,Auckland,96,57,8,9.142857142857142,44.0,201
South Africa,Afghanistan,Mumbai,49,90,9,9.8,49.0,209
South Africa,India,Chandigarh,127,15,6,7.257142857142857,32.0,149
Sri Lanka,India,Mirpur,10,101,9,3.1578947368421053,10.0,138
Pakistan,New Zealand,Abu Dhabi,5,115,10,6.0,5.0,148
West Indies,Sri Lanka,Pallekele,8,107,10,3.6923076923076925,8.0,129
India,New Zealand,Wellington,103,26,5,6.574468085106383,32.0,149
India,England,Colombo,24,102,9,8.0,24.0,170
Pakistan,England,Cardiff,64,28,3,4.173913043478261,20.0,89
Pakistan,South Africa,Centurion,91,54,7,8.272727272727273,40.0,168
West Indies,Australia,Colombo,11,102,9,3.6666666666666665,11.0,191
West Indies,England,London,66,83,9,10.702702702702704,57.0,208
Sri Lanka,Bangladesh,Pallekele,100,47,6,8.219178082191782,28.0,198
New Zealand,India,Auckland,64,70,9,7.68,41.0,132
West Indies,Bangladesh,Mirpur,81,60,8,8.1,46.0,197
Sri Lanka,Australia,Melbourne,91,40,7,6.825,37.0,142
Australia,England,Adelaide,118,27,7,7.612903225806452,26.0,157
India,Bangladesh,Bangalore,42,82,9,6.631578947368421,37.0,146
Sri Lanka,Pakistan,Colombo,32,97,9,8.347826086956522,32.0,172
Sri Lanka,Pakistan,London,21,107,10,9.692307692307692,21.0,150
New Zealand,West Indies,Auckland,151,16,5,8.711538461538462,48.0,189
India,Bangladesh,Bangalore,117,19,4,6.9504950495049505,39.0,146
Pakistan,England,Dubai,37,101,9,11.68421052631579,37.0,144
Australia,England,Barbados,12,99,7,3.4285714285714284,12.0,147
India,Pakistan,Durban,140,2,2,7.11864406779661,45.0,141
South Africa,India,Nottingham,91,37,8,6.578313253012048,32.0,130
West Indies,England,London,30,102,9,10.0,30.0,208
New Zealand,India,Auckland,179,16,6,10.326923076923077,62.0,203
Australia,South Africa,Johannesburg,4,119,10,24.0,4.0,196
South Africa,Sri Lanka,Johannesburg,113,4,1,5.844827586206897,22.0,113
Bangladesh,West Indies,Lauderhill,165,9,5,8.91891891891892,37.0,184
Sri Lanka,Australia,Colombo,45,85,8,7.714285714285714,36.0,128
